Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-12-01 09:39:00,86664.28000000,86759.99000000,86633.15000000,86759.98000000,26.83491000,1764582119999,2325985.27238660,9464,16.57584000,1436662.51918120,0
2025-12-01 09:42:00,86759.99000000,86842.30000000,86748.49000000,86842.30000000,17.61816000,1764582299999,1529196.12503410,6460,12.53037000,1087594.46276880,0
2025-12-01 09:45:00,86842.29000000,86899.00000000,86747.43000000,86778.00000000,39.42101000,1764582479999,3422393.42818000,14090,18.79596000,1631701.96595570,0
2025-12-01 09:48:00,86777.99000000,86778.00000000,86701.40000000,86750.08000000,38.54664000,1764582659999,3343524.74803650,11176,22.43551000,1945993.67191280,0
2025-12-01 09:51:00,86750.08000000,86800.96000000,86708.72000000,86710.01000000,59.97581000,1764582839999,5203341.84865670,9461,37.79511000,3279413.26163980,0
2025-12-01 09:54:00,86710.01000000,86739.83000000,86688.53000000,86739.83000000,19.26769000,1764583019999,1670704.16198750,6615,12.29660000,1066255.86629750,0
2025-12-01 09:57:00,86739.82000000,86745.28000000,86704.86000000,86704.86000000,16.81075000,1764583199999,1457984.10827620,7489,7.58984000,658248.85178490,0
2025-12-01 10:00:00,86704.85000000,86804.81000000,86704.85000000,86770.65000000,15.06331000,1764583379999,1306841.72543770,8511,9.57488000,830589.30915100,0
2025-12-01 10:03:00,86770.64000000,86787.91000000,86708.02000000,86787.18000000,28.29548000,1764583559999,2454528.28353230,11094,16.22473000,1407384.98758850,0
2025-12-01 10:06:00,86787.18000000,86814.00000000,86764.23000000,86799.58000000,12.76078000,1764583739999,1107525.62512790,7419,7.72221000,670202.12703310,0
2025-12-01 10:09:00,86799.59000000,86799.59000000,86735.52000000,86737.36000000,14.53093000,1764583919999,1260583.11079050,6336,6.51303000,564983.82207630,0
2025-12-01 10:12:00,86737.35000000,86769.66000000,86666.16000000,86675.44000000,14.05141000,1764584099999,1218629.53523960,7104,3.63717000,315465.18097800,0
2025-12-01 10:15:00,86675.45000000,86691.88000000,86624.30000000,86634.35000000,31.24811000,1764584279999,2707824.84912700,7857,10.38540000,899913.79308840,0
2025-12-01 10:18:00,86634.34000000,86680.00000000,86621.01000000,86635.45000000,18.51517000,1764584459999,1604151.36444780,7396,6.53970000,566625.04029960,0
2025-12-01 10:21:00,86635.44000000,86655.32000000,86616.62000000,86644.65000000,9.50571000,1764584639999,823536.61862940,4755,7.36742000,638283.81053790,0
2025-12-01 10:24:00,86644.66000000,86648.40000000,86572.60000000,86587.05000000,37.41906000,1764584819999,3240381.65857990,6106,6.44115000,557855.98998900,0
2025-12-01 10:27:00,86587.06000000,86596.34000000,86552.00000000,86596.11000000,12.21348000,1764584999999,1057417.96649820,4580,7.18039000,621653.51835770,0
2025-12-01 10:30:00,86596.12000000,86665.30000000,86596.07000000,86642.51000000,14.58377000,1764585179999,1263524.49872900,4797,9.07749000,786415.37933640,0
2025-12-01 10:33:00,86642.51000000,86642.51000000,86555.19000000,86639.91000000,24.30330000,1764585359999,2104384.55754660,7125,13.65796000,1182492.44292900,0
2025-12-01 10:36:00,86639.91000000,86643.46000000,86608.01000000,86643.46000000,14.70972000,1764585539999,1274234.47524760,5174,8.09910000,701543.30984240,0
2025-12-01 10:39:00,86643.46000000,86643.46000000,86574.63000000,86612.93000000,17.71956000,1764585719999,1534713.00236750,6855,8.21630000,711620.96999150,0
2025-12-01 10:42:00,86612.94000000,86633.72000000,86596.37000000,86624.00000000,10.57669000,1764585899999,916121.73115860,3615,5.13493000,444743.81727060,0
2025-12-01 10:45:00,86624.00000000,86686.92000000,86624.00000000,86686.92000000,16.22767000,1764586079999,1406242.03855840,6202,10.67784000,925306.06271550,0
2025-12-01 10:48:00,86686.92000000,86700.00000000,86648.00000000,86660.70000000,13.31649000,1764586259999,1154123.84279690,4435,5.29624000,458981.80977890,0
2025-12-01 10:51:00,86660.69000000,86660.70000000,86605.85000000,86651.61000000,26.15986000,1764586439999,2266046.81281550,5015,10.54108000,913089.15077930,0
2025-12-01 10:54:00,86651.62000000,86690.71000000,86633.52000000,86633.53000000,21.79779000,1764586619999,1888807.40656470,5590,11.99504000,1039381.71938290,0
2025-12-01 10:57:00,86633.52000000,86660.70000000,86633.52000000,86647.73000000,13.02509000,1764586799999,1128631.49196410,2832,6.36177000,551226.64940510,0
2025-12-01 11:00:00,86647.73000000,86699.99000000,86644.94000000,86644.94000000,24.50279000,1764586979999,2123560.40107810,5925,13.47544000,1167799.65824520,0
2025-12-01 11:03:00,86644.95000000,86644.95000000,86522.79000000,86524.00000000,29.16674000,1764587159999,2525773.64088450,5744,12.07971000,1046189.72684330,0
2025-12-01 11:06:00,86524.00000000,86538.59000000,86477.76000000,86500.00000000,47.66711000,1764587339999,4123795.18229750,9630,10.91900000,944564.52220670,0
2025-12-01 11:09:00,86500.00000000,86539.54000000,86485.00000000,86493.19000000,62.16224000,1764587519999,5377764.33696070,5840,21.63657000,1871696.91784620,0
2025-12-01 11:12:00,86493.19000000,86507.20000000,86486.01000000,86487.26000000,34.20097000,1764587699999,2958061.97111490,3608,7.49172000,647958.60928300,0
2025-12-01 11:15:00,86487.27000000,86536.99000000,86440.95000000,86447.01000000,51.17720000,1764587879999,4426060.75041380,9875,14.97173000,1294929.74343050,0
2025-12-01 11:18:00,86447.01000000,86472.69000000,86432.85000000,86435.45000000,35.23497000,1764588059999,3046163.59093480,6125,8.69096000,751371.21945480,0
2025-12-01 11:21:00,86435.44000000,86516.00000000,86420.76000000,86437.72000000,39.14044000,1764588239999,3384061.76583320,7897,13.64909000,1179967.87895750,0
2025-12-01 11:24:00,86437.71000000,86516.00000000,86432.16000000,86435.37000000,36.39266000,1764588419999,3146857.23557600,8555,10.31638000,891941.29808310,0
2025-12-01 11:27:00,86435.38000000,86482.75000000,86421.46000000,86464.73000000,14.05375000,1764588599999,1214948.23602840,3240,5.68675000,491555.91315250,0
2025-12-01 11:30:00,86464.73000000,86464.74000000,86359.17000000,86369.64000000,56.51130000,1764588779999,4883456.07913120,8065,8.52604000,736666.01308500,0
2025-12-01 11:33:00,86369.64000000,86409.99000000,86350.00000000,86409.98000000,25.84432000,1764588959999,2232342.13565670,6356,11.84808000,1023383.72263670,0
2025-12-01 11:36:00,86409.99000000,86490.18000000,86381.70000000,86416.46000000,29.02275000,1764589139999,2508622.56945210,6694,10.16069000,878103.15322270,0
2025-12-01 11:39:00,86416.47000000,86420.70000000,86360.84000000,86360.84000000,16.65610000,1764589319999,1438922.28941120,5662,4.25444000,367545.74237680,0
2025-12-01 11:42:00,86360.84000000,86371.36000000,86250.00000000,86286.67000000,45.37327000,1764589499999,3916692.51443280,10104,8.55065000,737995.62338760,0
2025-12-01 11:45:00,86286.67000000,86330.00000000,86261.56000000,86286.60000000,23.57659000,1764589679999,2034720.51847300,6364,8.24392000,711413.64584330,0
2025-12-01 11:48:00,86286.60000000,86355.31000000,86274.37000000,86354.00000000,23.16460000,1764589859999,1999513.99135430,7264,12.54400000,1082804.53084960,0
2025-12-01 11:51:00,86353.99000000,86366.00000000,86301.66000000,86325.43000000,128.01300000,1764590039999,11053270.62345370,7459,10.39473000,897339.34803610,0
2025-12-01 11:54:00,86325.43000000,86325.43000000,86259.11000000,86304.00000000,26.69993000,1764590219999,2303791.62279480,6193,11.36153000,980290.52301630,0
2025-12-01 11:57:00,86304.00000000,86308.02000000,86131.01000000,86149.15000000,76.18940000,1764590399999,6569010.84464350,10913,8.50600000,733335.33000620,0
