timestamp,elapsed,side,price,action,cost,context_4h,context_atr,context_wall,context_news
10:13:11,791,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:17,797,DOWN,0.900,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:22,802,DOWN,0.930,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:28,808,DOWN,0.930,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:34,814,DOWN,0.950,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:39,819,DOWN,0.960,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:45,825,DOWN,0.960,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:50,830,DOWN,0.950,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:56,836,DOWN,0.960,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:01,841,DOWN,0.970,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:07,847,DOWN,0.940,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:12,852,DOWN,0.970,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:18,858,DOWN,0.970,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:23,863,DOWN,0.970,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:29,869,DOWN,0.970,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:34,874,DOWN,0.970,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:40,880,DOWN,0.980,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:45,885,DOWN,0.980,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:51,891,DOWN,0.980,MONITOR,0.00,DOWN,1.04,1.27,True
10:14:56,896,DOWN,0.990,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:03,3,DOWN,0.490,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:08,8,DOWN,0.490,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:14,14,DOWN,0.530,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:19,19,DOWN,0.510,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:25,25,DOWN,0.520,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:30,30,DOWN,0.500,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:36,36,UP,0.490,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:41,41,UP,0.530,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:47,47,UP,0.520,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:52,52,DOWN,0.500,MONITOR,0.00,DOWN,1.04,1.27,True
10:15:58,58,DOWN,0.530,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:03,63,DOWN,0.550,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:09,69,DOWN,0.560,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:14,74,DOWN,0.640,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:20,80,DOWN,0.570,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:25,85,DOWN,0.530,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:31,91,DOWN,0.530,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:36,96,DOWN,0.530,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:42,102,DOWN,0.500,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:47,107,UP,0.490,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:53,113,DOWN,0.510,MONITOR,0.00,DOWN,1.04,1.27,True
10:16:58,118,DOWN,0.510,MONITOR,0.00,DOWN,1.04,1.27,True
10:17:04,124,DOWN,0.510,MONITOR,0.00,DOWN,1.04,1.27,True
10:17:09,129,DOWN,0.550,MONITOR,0.00,DOWN,1.04,1.27,True
